.\\res\\npc\\redPao.png,15,2,70,2,2,10,1,0
.\\res\\npc\\greenPao.png,20,1,50,1,1,9,1,0
.\\res\\npc\\greenPao.png,20,1,50,1,1,11,1,0
.\\res\\npc\\blackPao.png,35,10,200,5,5,14,5,0
.\\res\\npc\\greenPao.png,20,1,50,1,1,13,6,0
.\\res\\npc\\ske.png,25,5,110,5,4,7,4,0
.\\res\\npc\\ske.png,25,5,110,5,4,8,3,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,7,6,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,7,9,0
.\\res\\npc\\bat.png,20,5,100,3,3,14,6,0
.\\res\\npc\\monkey.png,75,45,300,13,10,15,10,0
.\\res\\npc\\priMage.png,32,8,60,5,5,12,6,0
.\\res\\npc\\magicWand.png,0,0,0,0,0,7,11,10
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,9,3,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,7,5,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,7,8,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,11,6,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,15,9,1
.\\res\\npc\\redDoor.png,0,0,0,0,0,11,9,2
.\\res\\npc\\yellowKey.png,0,0,0,0,0,8,1,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,6,4,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,6,6,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,8,10,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,8,11,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,13,3,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,13,4,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,14,10,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,14,11,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,15,11,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,16,11,4
.\\res\\npc\\redKey.png,0,0,0,0,0,10,10,5
.\\res\\npc\\blueKey.png,0,0,0,0,0,16,10,6
.\\res\\npc\\redMed.png,0,0,200,0,0,6,3,7
.\\res\\npc\\redMed.png,0,0,200,0,0,6,10,7
.\\res\\npc\\redMed.png,0,0,200,0,0,6,11,7
.\\res\\npc\\redMed.png,0,0,200,0,0,12,3,7
.\\res\\npc\\redMed.png,0,0,200,0,0,12,4,7
.\\res\\npc\\redMed.png,0,0,200,0,0,14,3,7
.\\res\\npc\\redMed.png,0,0,200,0,0,14,4,7
.\\res\\npc\\BlueMed.png,0,0,500,0,0,7,10,7
.\\res\\npc\\redGem.png,3,0,0,0,0,8,4,7
.\\res\\npc\\blueGem.png,0,3,0,0,0,6,7,7
