.\\res\\npc\\priMage.png,50,25,125,10,7,8,4,0
.\\res\\npc\\priMage.png,50,25,125,10,7,10,2,0
.\\res\\npc\\priMage.png,50,25,125,10,7,11,1,0
.\\res\\npc\\priMage.png,50,25,125,10,7,14,1,0
.\\res\\npc\\priMage.png,50,25,125,10,7,15,2,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,10,3,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,11,4,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,15,4,0
.\\res\\npc\\skeWarrior.png,40,20,150,8,6,16,5,0
.\\res\\npc\\bigBat.png,65,30,150,10,8,6,3,0
.\\res\\npc\\bigBat.png,65,30,150,10,8,6,5,0
.\\res\\npc\\bat.png,20,5,100,3,3,11,6,0
.\\res\\npc\\bat.png,20,5,100,3,3,9,9,0
.\\res\\npc\\bat.png,20,5,100,3,3,8,11,0
.\\res\\npc\\bat.png,20,5,100,3,3,11,10,0
.\\res\\npc\\monkey.png,75,45,300,13,10,14,4,0
.\\res\\npc\\monkey.png,75,45,300,13,10,14,8,0
.\\res\\npc\\oldMan2.png,0,0,0,0,0,16,4,18
.\\res\\npc\\oldMan1.png,0,0,0,0,0,7,8,9
.\\res\\npc\\ske.png,25,2,110,5,4,12,6,0
.\\res\\npc\\priGuard.png,150,90,450,22,19,15,8,0
.\\res\\npc\\blackPao.png,35,10,200,5,5,9,7,0
.\\res\\npc\\blackPao.png,35,10,200,5,5,9,8,0
.\\res\\npc\\yellowKey.png,0,0,0,0,0,6,1,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,15,1,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,16,2,4
.\\res\\npc\\yellowKey.png,0,0,0,0,0,13,11,4
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,7,4,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,14,3,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,15,9,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,11,9,1
.\\res\\npc\\yellowDoor.png,0,0,0,0,0,14,10,1
.\\res\\npc\\shield.png,0,10,0,0,0,10,4,7
.\\res\\npc\\blueKey.png,0,0,0,0,0,16,1,6
.\\res\\npc\\blueDoor.png,0,0,0,0,0,13,9,3
.\\res\\npc\\blueGem.png,0,3,0,0,0,13,10,7
.\\res\\npc\\blueGem.png,0,3,0,0,0,6,7,7
.\\res\\npc\\redGem.png,3,0,0,0,0,6,6,7
.\\res\\npc\\redGem.png,3,0,0,0,0,8,2,7
.\\res\\npc\\blueMed.png,0,0,500,0,0,10,1,7
.\\res\\npc\\redMed.png,0,0,200,0,0,8,1,7
